@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
1747,'2017/11/30 12:02:58:071',3,1,0.962882,0.930891,0.952941,1,0.037708,0.487195,0.238495,0.858349,0.517736
1748,'2017/11/30 12:02:58:071',3,1,0.962882,0.930891,0.952941,1,0.037708,0.487195,0.238495,0.858349,0.517736
1749,'2017/11/30 12:02:58:096',3,1,0.962882,0.930891,0.937255,1,0.037708,0.487195,0.238495,0.858349,0.517736
1750,'2017/11/30 12:02:58:096',3,1,0.962882,0.931868,0.937255,1,0.037708,0.487195,0.238495,0.858349,0.517736
1751,'2017/11/30 12:02:58:096',3,1,0.963126,0.931868,0.937255,1,0.037708,0.487195,0.238495,0.858349,0.517736
1752,'2017/11/30 12:02:58:096',3,1,0.963126,0.931868,0.937255,1,0.037708,0.487195,0.238495,0.858349,0.517736
1753,'2017/11/30 12:02:58:121',3,1,0.963126,0.931868,0.917647,1,0.037708,0.487195,0.238495,0.858349,0.517736
1754,'2017/11/30 12:02:58:121',3,1,0.963126,0.933089,0.917647,1,0.037708,0.487195,0.238495,0.858349,0.517736
1755,'2017/11/30 12:02:58:121',3,1,0.963858,0.933089,0.917647,1,0.037708,0.487195,0.238495,0.858349,0.517736
1756,'2017/11/30 12:02:58:121',3,1,0.963858,0.933089,0.917647,1,0.037708,0.487195,0.238495,0.858349,0.517736
1757,'2017/11/30 12:02:58:146',3,1,0.963858,0.933089,0.937255,1,0.037708,0.487195,0.238495,0.858349,0.517736
1758,'2017/11/30 12:02:58:146',3,1,0.963858,0.932845,0.937255,1,0.037708,0.487195,0.238495,0.858349,0.517736
1759,'2017/11/30 12:02:58:147',3,1,0.963614,0.932845,0.937255,1,0.037708,0.487195,0.238495,0.858349,0.517736
1760,'2017/11/30 12:02:58:147',3,1,0.963614,0.932845,0.937255,1,0.037708,0.487195,0.238495,0.858349,0.517736
1761,'2017/11/30 12:02:58:171',3,1,0.963614,0.932845,0.941176,1,0.037708,0.487195,0.238495,0.858349,0.517736
1762,'2017/11/30 12:02:58:171',3,1,0.963614,0.932112,0.941176,1,0.037708,0.487195,0.238495,0.858349,0.517736
1763,'2017/11/30 12:02:58:171',3,1,0.962882,0.932112,0.941176,1,0.037708,0.487195,0.238495,0.858349,0.517736
1764,'2017/11/30 12:02:58:171',3,1,0.962882,0.932112,0.941176,1,0.037708,0.487195,0.238495,0.858349,0.517736
1765,'2017/11/30 12:02:58:196',3,1,0.962882,0.932112,0.937255,1,0.037708,0.487195,0.238495,0.858349,0.517736
1766,'2017/11/30 12:02:58:196',3,1,0.962882,0.932357,0.937255,1,0.037708,0.487195,0.238495,0.858349,0.517736
1767,'2017/11/30 12:02:58:196',3,1,0.963126,0.932357,0.937255,1,0.037708,0.487195,0.238495,0.858349,0.517736
1768,'2017/11/30 12:02:58:196',3,1,0.963126,0.932357,0.937255,1,0.037708,0.487195,0.238495,0.858349,0.517736
1769,'2017/11/30 12:02:58:221',3,1,0.963126,0.932357,0.972549,1,0.037708,0.487195,0.238495,0.858349,0.517736
1770,'2017/11/30 12:02:58:221',3,1,0.963126,0.931868,0.972549,1,0.037708,0.487195,0.238495,0.858349,0.517736
1771,'2017/11/30 12:02:58:221',3,1,0.962882,0.931868,0.972549,1,0.037708,0.487195,0.238495,0.858349,0.517736
1772,'2017/11/30 12:02:58:221',3,1,0.962882,0.931868,0.972549,1,0.037708,0.487195,0.238495,0.858349,0.517736
1773,'2017/11/30 12:02:58:246',3,1,0.962882,0.931868,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1774,'2017/11/30 12:02:58:246',3,1,0.962882,0.930647,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1775,'2017/11/30 12:02:58:246',3,1,0.962637,0.930647,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1776,'2017/11/30 12:02:58:246',3,1,0.962637,0.930647,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1777,'2017/11/30 12:02:58:271',3,1,0.962637,0.930647,0.996078,1,0.037708,0.487195,0.238495,0.858349,0.517736
1778,'2017/11/30 12:02:58:271',3,1,0.962637,0.930647,0.996078,1,0.037708,0.487195,0.238495,0.858349,0.517736
1779,'2017/11/30 12:02:58:271',3,1,0.962393,0.930647,0.996078,1,0.037708,0.487195,0.238495,0.858349,0.517736
1780,'2017/11/30 12:02:58:271',3,1,0.962393,0.930647,0.996078,1,0.037708,0.487195,0.238495,0.858349,0.517736
1781,'2017/11/30 12:02:58:296',3,1,0.962393,0.930647,0.976471,1,0.037708,0.487195,0.238495,0.858349,0.517736
1782,'2017/11/30 12:02:58:296',3,1,0.962393,0.932112,0.976471,1,0.037708,0.487195,0.238495,0.858349,0.517736
1783,'2017/11/30 12:02:58:296',3,1,0.962882,0.932112,0.976471,1,0.037708,0.487195,0.238495,0.858349,0.517736
1784,'2017/11/30 12:02:58:296',3,1,0.962882,0.932112,0.976471,1,0.037708,0.487195,0.238495,0.858349,0.517736
1785,'2017/11/30 12:02:58:321',3,1,0.962882,0.932112,0.980392,1,0.037708,0.487195,0.238495,0.858349,0.517736
1786,'2017/11/30 12:02:58:321',3,1,0.962882,0.932357,0.980392,1,0.037708,0.487195,0.238495,0.858349,0.517736
1787,'2017/11/30 12:02:58:321',3,1,0.963126,0.932357,0.980392,1,0.037708,0.487195,0.238495,0.858349,0.517736
1788,'2017/11/30 12:02:58:321',3,1,0.963126,0.932357,0.980392,1,0.037708,0.487195,0.238495,0.858349,0.517736
1789,'2017/11/30 12:02:58:346',3,1,0.963126,0.932357,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1790,'2017/11/30 12:02:58:346',3,1,0.963126,0.93138,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1791,'2017/11/30 12:02:58:346',3,1,0.962637,0.93138,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1792,'2017/11/30 12:02:58:346',3,1,0.962637,0.93138,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1793,'2017/11/30 12:02:58:371',3,1,0.962637,0.93138,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1794,'2017/11/30 12:02:58:371',3,1,0.962637,0.93138,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1795,'2017/11/30 12:02:58:371',3,1,0.962637,0.93138,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1796,'2017/11/30 12:02:58:371',3,1,0.962637,0.93138,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1797,'2017/11/30 12:02:58:396',3,1,0.962637,0.93138,0.984314,1,0.037708,0.487195,0.238495,0.858349,0.517736
1798,'2017/11/30 12:02:58:396',3,1,0.962637,0.932112,0.984314,1,0.037708,0.487195,0.238495,0.858349,0.517736
1799,'2017/11/30 12:02:58:396',3,1,0.963126,0.932112,0.984314,1,0.037708,0.487195,0.238495,0.858349,0.517736
1800,'2017/11/30 12:02:58:396',3,1,0.963126,0.932112,0.984314,1,0.037708,0.487195,0.238495,0.858349,0.517736
1801,'2017/11/30 12:02:58:421',3,1,0.963126,0.932112,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1802,'2017/11/30 12:02:58:421',3,1,0.963126,0.932357,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1803,'2017/11/30 12:02:58:421',3,1,0.96337,0.932357,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1804,'2017/11/30 12:02:58:421',3,1,0.96337,0.932357,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1805,'2017/11/30 12:02:58:446',3,1,0.96337,0.932357,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1806,'2017/11/30 12:02:58:446',3,1,0.96337,0.932112,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1807,'2017/11/30 12:02:58:446',3,1,0.96337,0.932112,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1808,'2017/11/30 12:02:58:446',3,1,0.96337,0.932112,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1809,'2017/11/30 12:02:58:471',3,1,0.96337,0.932112,0.996078,1,0.037708,0.487195,0.238495,0.858349,0.517736
1810,'2017/11/30 12:02:58:471',3,1,0.96337,0.932112,0.996078,1,0.037708,0.487195,0.238495,0.858349,0.517736
1811,'2017/11/30 12:02:58:471',3,1,0.96337,0.932112,0.996078,1,0.037708,0.487195,0.238495,0.858349,0.517736
1812,'2017/11/30 12:02:58:471',3,1,0.96337,0.932112,0.996078,1,0.037708,0.487195,0.238495,0.858349,0.517736
1813,'2017/11/30 12:02:58:496',3,1,0.96337,0.932112,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1814,'2017/11/30 12:02:58:496',3,1,0.96337,0.931868,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1815,'2017/11/30 12:02:58:496',3,1,0.96337,0.931868,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1816,'2017/11/30 12:02:58:496',3,1,0.96337,0.931868,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1817,'2017/11/30 12:02:58:521',3,1,0.96337,0.931868,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1818,'2017/11/30 12:02:58:521',3,1,0.96337,0.931624,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1819,'2017/11/30 12:02:58:521',3,1,0.962882,0.931624,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1820,'2017/11/30 12:02:58:521',3,1,0.962882,0.931624,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1821,'2017/11/30 12:02:58:546',3,1,0.962882,0.931624,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1822,'2017/11/30 12:02:58:546',3,1,0.962882,0.93138,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1823,'2017/11/30 12:02:58:546',3,1,0.962882,0.93138,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1824,'2017/11/30 12:02:58:546',3,1,0.962882,0.93138,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1825,'2017/11/30 12:02:58:571',3,1,0.962882,0.93138,0.988235,1,0.037708,0.487195,0.238495,0.858349,0.517736
1826,'2017/11/30 12:02:58:571',3,1,0.962882,0.932601,0.988235,1,0.037708,0.487195,0.238495,0.858349,0.517736
1827,'2017/11/30 12:02:58:571',3,1,0.963126,0.932601,0.988235,1,0.037708,0.487195,0.238495,0.858349,0.517736
1828,'2017/11/30 12:02:58:571',3,1,0.963126,0.932601,0.988235,1,0.037708,0.487195,0.238495,0.858349,0.517736
1829,'2017/11/30 12:02:58:596',3,1,0.963126,0.932601,0.996078,1,0.037708,0.487195,0.238495,0.858349,0.517736
1830,'2017/11/30 12:02:58:596',3,1,0.963126,0.932845,0.996078,1,0.037708,0.487195,0.238495,0.858349,0.517736
1831,'2017/11/30 12:02:58:596',3,1,0.96337,0.932845,0.996078,1,0.037708,0.487195,0.238495,0.858349,0.517736
1832,'2017/11/30 12:02:58:596',3,1,0.96337,0.932845,0.996078,1,0.037708,0.487195,0.238495,0.858349,0.517736
1833,'2017/11/30 12:02:58:621',3,1,0.96337,0.932845,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1834,'2017/11/30 12:02:58:621',3,1,0.96337,0.932112,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1835,'2017/11/30 12:02:58:621',3,1,0.963126,0.932112,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1836,'2017/11/30 12:02:58:621',3,1,0.963126,0.932112,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1837,'2017/11/30 12:02:58:646',3,1,0.963126,0.932112,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1838,'2017/11/30 12:02:58:646',3,1,0.963126,0.932112,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1839,'2017/11/30 12:02:58:646',3,1,0.962882,0.932112,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1840,'2017/11/30 12:02:58:646',3,1,0.962882,0.932112,1,1,0.037708,0.487195,0.238495,0.858349,0.517736
1841,'2017/11/30 12:02:58:672',3,1,0.962882,0.932112,0.992157,1,0.037708,0.487195,0.238495,0.858349,0.517736
1842,'2017/11/30 12:02:58:673',3,1,0.962882,0.932357,0.992157,1,0.037708,0.487195,0.238495,0.858349,0.517736
1843,'2017/11/30 12:02:58:673',3,1,0.963126,0.932357,0.992157,1,0.037708,0.487195,0.238495,0.858349,0.517736
1844,'2017/11/30 12:02:58:673',3,1,0.963126,0.932357,0.992157,1,0.037708,0.487195,0.238495,0.858349,0.517736
1845,'2017/11/30 12:02:58:696',3,1,0.963126,0.932357,0.988235,1,0.037708,0.487195,0.238495,0.858349,0.517736
1846,'2017/11/30 12:02:58:696',3,1,0.963126,0.932601,0.988235,1,0.037708,0.487195,0.238495,0.858349,0.517736
1847,'2017/11/30 12:02:58:696',3,1,0.963126,0.932601,0.988235,1,0.037708,0.487195,0.238495,0.858349,0.517736
